GHG Scopes and categories L1;GHG Scopes and categories L2;Activity L1;Activity L2;Region;Activity unit;Year;Readable unique string;Emission factor [kg CO2e/unit];Emission factor (location-based) [kg CO2e/unit];Emission factor (market-based) [kg CO2e/unit];Source;Description;Link
Scope 1;Direct GHG emissions;Carbon dioxide (CO2);;GLOBAL;kg;2022;Scope1_Direct-GHG-emissions_Carbon-dioxide-(CO2)_GLOBAL_kg_2022;1;;;IPCC AR6;The Global Warming Potential (GWP)-values for a 100 years. using estimates from the sixth assessment report (AR6) from the International Panel on Climate Change (IPCC).;https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf
Scope 1;Direct GHG emissions;Carbon dioxide (CO2);;GLOBAL;tonnes;2022;Scope1_Direct-GHG-emissions_Carbon-dioxide-(CO2)_GLOBAL_tonnes_2022;0.001;;;IPCC AR6;The Global Warming Potential (GWP)-values for a 100 years. using estimates from the sixth assessment report (AR6) from the International Panel on Climate Change (IPCC).;https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf
Scope 1;Direct GHG emissions;Methane (CH4);;GLOBAL;kg;2022;Scope1_Direct-GHG-emissions_Methane-(CH4)_GLOBAL_kg_2022;27.9;;;IPCC AR6;The Global Warming Potential (GWP)-values for a 100 years. using estimates from the sixth assessment report (AR6) from the International Panel on Climate Change (IPCC).;https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf
Scope 1;Direct GHG emissions;Methane (CH4);;GLOBAL;tonnes;2022;Scope1_Direct-GHG-emissions_Methane-(CH4)_GLOBAL_tonnes_2022;0.0279;;;IPCC AR6;The Global Warming Potential (GWP)-values for a 100 years. using estimates from the sixth assessment report (AR6) from the International Panel on Climate Change (IPCC).;https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf
Scope 1;Direct GHG emissions;Nitrogen trifluoride (NF3);;GLOBAL;kg;2022;Scope1_Direct-GHG-emissions_Nitrogen-trifluoride-(NF3)_GLOBAL_kg_2022;17400;;;IPCC AR6;The Global Warming Potential (GWP)-values for a 100 years. using estimates from the sixth assessment report (AR6) from the International Panel on Climate Change (IPCC).;https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf
Scope 1;Direct GHG emissions;Nitrogen trifluoride (NF3);;GLOBAL;tonnes;2022;Scope1_Direct-GHG-emissions_Nitrogen-trifluoride-(NF3)_GLOBAL_tonnes_2022;17.4;;;IPCC AR6;The Global Warming Potential (GWP)-values for a 100 years. using estimates from the sixth assessment report (AR6) from the International Panel on Climate Change (IPCC).;https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf
Scope 1;Direct GHG emissions;Nitrous oxide (N2O);;GLOBAL;kg;2022;Scope1_Direct-GHG-emissions_Nitrous-oxide-(N2O)_GLOBAL_kg_2022;273;;;IPCC AR6;The Global Warming Potential (GWP)-values for a 100 years. using estimates from the sixth assessment report (AR6) from the International Panel on Climate Change (IPCC).;https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf
Scope 1;Direct GHG emissions;Nitrous oxide (N2O);;GLOBAL;tonnes;2022;Scope1_Direct-GHG-emissions_Nitrous-oxide-(N2O)_GLOBAL_tonnes_2022;0.273;;;IPCC AR6;The Global Warming Potential (GWP)-values for a 100 years. using estimates from the sixth assessment report (AR6) from the International Panel on Climate Change (IPCC).;https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf
Scope 1;Direct GHG emissions;Sulphur hexafluoride (SF6);;GLOBAL;kg;2022;Scope1_Direct-GHG-emissions_Sulphur-hexafluoride-(SF6)_GLOBAL_kg_2022;24300;;;IPCC AR6;The Global Warming Potential (GWP)-values for a 100 years. using estimates from the sixth assessment report (AR6) from the International Panel on Climate Change (IPCC).;https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf
Scope 1;Direct GHG emissions;Sulphur hexafluoride (SF6);;GLOBAL;tonnes;2022;Scope1_Direct-GHG-emissions_Sulphur-hexafluoride-(SF6)_GLOBAL_tonnes_2022;17.4;;;IPCC AR6;The Global Warming Potential (GWP)-values for a 100 years. using estimates from the sixth assessment report (AR6) from the International Panel on Climate Change (IPCC).;https://www.ipcc.ch/report/ar6/wg1/downloads/report/IPCC_AR6_WGI_Chapter07_SM.pdf
