GHG Scopes and categories L1,GHG Scopes and categories L2,Activity L1,Activity L2,Region,Activity unit,Year,Readable unique string,Emission factor [kg CO2e/unit],Emission factor (location-based) [kg CO2e/unit],Emission factor (market-based) [kg CO2e/unit],Source,Description,Link,KEY
Scope 3,Business travel,Flights,Domestic (Average passenger),GB,passenger-km,2022,Scope3_Business-travel_Flights_Domestic-(Average-passenger)_GB_passenger-km_2022,0.24587,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_flights_domesticAveragePassenger
Scope 3,Business travel,Flights,Long-haul (international >3700km) (Average passenger),GLOBAL,passenger-km,2022,Scope3_Business-travel_Flights_Long-haul-(international->3700km)-(Average-passenger)_GLOBAL_passenger-km_2022,0.19309,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_pkm_businessTravel_flights_longhaulInternational3700kmAveragePassenger
Scope 3,Business travel,Flights,Long-haul (international >3700km) (Business class),GLOBAL,passenger-km,2022,Scope3_Business-travel_Flights_Long-haul-(international->3700km)-(Business-class)_GLOBAL_passenger-km_2022,0.42882,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_pkm_businessTravel_flights_longhaulInternational3700kmBusinessClass
Scope 3,Business travel,Flights,Long-haul (international >3700km) (Economy class),GLOBAL,passenger-km,2022,Scope3_Business-travel_Flights_Long-haul-(international->3700km)-(Economy-class)_GLOBAL_passenger-km_2022,0.14787,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_pkm_businessTravel_flights_longhaulInternational3700kmEconomyClass
Scope 3,Business travel,Flights,Long-haul (international >3700km) (First class),GLOBAL,passenger-km,2022,Scope3_Business-travel_Flights_Long-haul-(international->3700km)-(First-class)_GLOBAL_passenger-km_2022,0.59147,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_pkm_businessTravel_flights_longhaulInternational3700kmFirstClass
Scope 3,Business travel,Flights,Long-haul (international >3700km) (Premium economy class),GLOBAL,passenger-km,2022,Scope3_Business-travel_Flights_Long-haul-(international->3700km)-(Premium-economy-class)_GLOBAL_passenger-km_2022,0.23659,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_pkm_businessTravel_flights_longhaulInternational3700kmPremiumEconomyClass
Scope 3,Business travel,Flights,Short-haul (international <3700km) (Average passenger),GLOBAL,passenger-km,2022,Scope3_Business-travel_Flights_Short-haul-(international-<3700km)-(Average-passenger)_GLOBAL_passenger-km_2022,0.15353,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_pkm_businessTravel_flights_shorthaulInternational3700kmAveragePassenger
Scope 3,Business travel,Flights,Short-haul (international <3700km) (Business class),GLOBAL,passenger-km,2022,Scope3_Business-travel_Flights_Short-haul-(international-<3700km)-(Business-class)_GLOBAL_passenger-km_2022,0.22652,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_pkm_businessTravel_flights_shorthaulInternational3700kmBusinessClass
Scope 3,Business travel,Flights,Short-haul (international <3700km) (Economy class),GLOBAL,passenger-km,2022,Scope3_Business-travel_Flights_Short-haul-(international-<3700km)-(Economy-class)_GLOBAL_passenger-km_2022,0.15102,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GLOBAL_2022_pkm_businessTravel_flights_shorthaulInternational3700kmEconomyClass
Scope 3,Business travel,Land travel,Bus (coach),GB,passenger-km,2022,Scope3_Business-travel_Land-travel_Bus-(coach)_GB_passenger-km_2022,0.02733,,,BEIS/DEFRA,The BEIS/DERFA database. maintained by the Department for Business. Energy. and Industrial Strategy (BEIS) in the United Kingdom. is a comprehensive repository of emission factors. These factors quantify the amount of greenhouse gases released per unit of activity or fuel consumption. enabling organizations to estimate their carbon footprint and understand the environmental impact of their operations. ,https://www.gov.uk/government/publications/greenhouse-gas-reporting-conversion-factors-2022,GB_2022_pkm_businessTravel_landTravel_busCoach
