region	sector	indout
AT	Paddy rice	0
AT	Wheat	330.773470148
AT	Cereal grains nec	838.757042379
AT	Vegetables, fruit, nuts	1531.47851751
AT	Oil seeds	150.920779873
AT	Sugar cane, sugar beet	85.9077613315
AT	Plant-based fibers	1.49097229032
AT	Crops nec	161.538681465
AT	Cattle	366.37645768
AT	Pigs	837.152630557
AT	Poultry	482.045618516
AT	Meat animals nec	67.4783428597
AT	Animal products nec	48.2257295372
AT	Raw milk	904.586918176
AT	Wool, silk-worm cocoons	0.214795356433
AT	Manure (conventional treatment)	0
AT	Manure (biogas treatment)	0
AT	Products of forestry, logging and related services (02)	2909.0977262
AT	Fish and other fishing products; services incidental of fishing (05)	34.9798337418
AT	Anthracite	0
AT	Coking Coal	0.00973154075539
AT	Other Bituminous Coal	3.30930754819e-05
AT	Sub-Bituminous Coal	0.0263205010205
AT	Patent Fuel	0.0274445107777
AT	Lignite/Brown Coal	0.0178377758308
AT	BKB/Peat Briquettes	8.56545197024e-05
AT	Peat	3.62739544568
AT	Crude petroleum and services related to crude oil extraction, excluding surveying	384.80386742
AT	Natural gas and services related to natural gas extraction, excluding surveying	516.528647056
AT	Natural Gas Liquids	38.0132724216
AT	Other Hydrocarbons	0
AT	Uranium and thorium ores (12)	0
AT	Iron ores	116.657167054
AT	Copper ores and concentrates	1.7138826868
AT	Nickel ores and concentrates	0
AT	Aluminium ores and concentrates	0
AT	Precious metal ores and concentrates	0.196314138286
AT	Lead, zinc and tin ores and concentrates	4.8592047519
AT	Other non-ferrous metal ores and concentrates	413.565496843
AT	Stone	348.789863296
AT	Sand and clay	1046.21309002
AT	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	141.847268617
AT	Products of meat cattle	839.298293697
AT	Products of meat pigs	1182.00830184
AT	Products of meat poultry	603.914401877
AT	Meat products nec	2461.79830718
AT	products of Vegetable oils and fats	469.365595698
AT	Dairy products	3584.43303637
AT	Processed rice	6.53052786955
AT	Sugar	264.638482985
AT	Food products nec	10892.3585884
AT	Beverages	4340.56880499
AT	Fish products	92.6829908746
AT	Tobacco products (16)	148.424207448
AT	Textiles (17)	2737.92270106
AT	Wearing apparel; furs (18)	1025.20592138
AT	Leather and leather products (19)	943.500588062
AT	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	10128.6761875
AT	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
AT	Pulp	3145.96990741
AT	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
AT	Paper and paper products	3083.00540758
AT	Printed matter and recorded media (22)	8078.71955991
AT	Coke Oven Coke	40.36166988
AT	Gas Coke	0
AT	Coal Tar	10.1001640093
AT	Motor Gasoline	1437.16197289
AT	Aviation Gasoline	0.0741429569161
AT	Gasoline Type Jet Fuel	21.9322899477
AT	Kerosene Type Jet Fuel	211.168422244
AT	Kerosene	0.0331497154854
AT	Gas/Diesel Oil	1134.83394908
AT	Heavy Fuel Oil	181.54198212
AT	Refinery Gas	1.52271284278
AT	Liquefied Petroleum Gases (LPG)	192.541599056
AT	Refinery Feedstocks	17.5073137189
AT	Ethane	0.307550487864
AT	Naphtha	37.8675397296
AT	White Spirit & SBP	2.97277900001
AT	Lubricants	32.7121190441
AT	Bitumen	12.318336064
AT	Paraffin Waxes	1.34516534688
AT	Petroleum Coke	8.85080921512
AT	Non-specified Petroleum Products	8.87579437478
AT	Nuclear fuel	1.44772907066
AT	Plastics, basic	5512.45061064
AT	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
AT	N-fertiliser	74.9276743715
AT	P- and other fertiliser	65.6269333043
