region	sector	indout
AT	Paddy rice	0
AT	Wheat	365.914298228
AT	Cereal grains nec	883.603325968
AT	Vegetables, fruit, nuts	1658.77454786
AT	Oil seeds	180.863292603
AT	Sugar cane, sugar beet	109.908999894
AT	Plant-based fibers	1.64562937627
AT	Crops nec	248.747213877
AT	Cattle	447.166293005
AT	Pigs	911.424491105
AT	Poultry	518.973733873
AT	Meat animals nec	64.5639119085
AT	Animal products nec	53.3491515246
AT	Raw milk	1102.34504684
AT	Wool, silk-worm cocoons	0.237717136156
AT	Manure (conventional treatment)	0
AT	Manure (biogas treatment)	0
AT	Products of forestry, logging and related services (02)	3209.30277025
AT	Fish and other fishing products; services incidental of fishing (05)	38.6960325635
AT	Anthracite	0
AT	Coking Coal	0.0615289221956
AT	Other Bituminous Coal	3.67149082434e-05
AT	Sub-Bituminous Coal	0.0287165135328
AT	Patent Fuel	0.553652639872
AT	Lignite/Brown Coal	0.0171160746849
AT	BKB/Peat Briquettes	9.87450422334e-05
AT	Peat	4.05519149926
AT	Crude petroleum and services related to crude oil extraction, excluding surveying	398.523012718
AT	Natural gas and services related to natural gas extraction, excluding surveying	577.107369919
AT	Natural Gas Liquids	21.7683861551
AT	Other Hydrocarbons	0
AT	Uranium and thorium ores (12)	0
AT	Iron ores	65.9879494647
AT	Copper ores and concentrates	2.3901003655
AT	Nickel ores and concentrates	0
AT	Aluminium ores and concentrates	0
AT	Precious metal ores and concentrates	0.21779301817
AT	Lead, zinc and tin ores and concentrates	5.35592819855
AT	Other non-ferrous metal ores and concentrates	425.447751036
AT	Stone	397.82709705
AT	Sand and clay	1203.22893606
AT	Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.	166.227246703
AT	Products of meat cattle	960.028995634
AT	Products of meat pigs	1300.85923491
AT	Products of meat poultry	674.67424834
AT	Meat products nec	2651.37695068
AT	products of Vegetable oils and fats	582.80515209
AT	Dairy products	4062.74961272
AT	Processed rice	7.22136494904
AT	Sugar	233.786402255
AT	Food products nec	12331.6919212
AT	Beverages	5241.25896881
AT	Fish products	63.8732369537
AT	Tobacco products (16)	174.335643013
AT	Textiles (17)	3283.52527574
AT	Wearing apparel; furs (18)	1130.84105637
AT	Leather and leather products (19)	1042.49143133
AT	Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)	11695.2326109
AT	Wood material for treatment, Re-processing of secondary wood material into new wood material	0
AT	Pulp	3661.71167
AT	Secondary paper for treatment, Re-processing of secondary paper into new pulp	0
AT	Paper and paper products	3458.48135193
AT	Printed matter and recorded media (22)	8922.42144507
AT	Coke Oven Coke	67.1568892362
AT	Gas Coke	0
AT	Coal Tar	24.3481925141
AT	Motor Gasoline	2293.57415109
AT	Aviation Gasoline	0.103711189796
AT	Gasoline Type Jet Fuel	25.1454740847
AT	Kerosene Type Jet Fuel	323.665263517
AT	Kerosene	0.0390368519459
AT	Gas/Diesel Oil	1815.8105775
AT	Heavy Fuel Oil	293.350800988
AT	Refinery Gas	1.87874114261
AT	Liquefied Petroleum Gases (LPG)	275.134348165
AT	Refinery Feedstocks	11.1410134057
AT	Ethane	0.437776696584
AT	Naphtha	72.1366808164
AT	White Spirit & SBP	3.68577733869
AT	Lubricants	20.0059171829
AT	Bitumen	31.7137421338
AT	Paraffin Waxes	0.735694411301
AT	Petroleum Coke	10.612650226
AT	Non-specified Petroleum Products	10.7244339305
AT	Nuclear fuel	1.59175155328
AT	Plastics, basic	6124.84689885
AT	Secondary plastic for treatment, Re-processing of secondary plastic into new plastic	0
AT	N-fertiliser	62.9992190885
AT	P- and other fertiliser	72.4649796115
AT	Chemicals nec	1803.58142942
AT	Charcoal	5.7089475594
AT	Additives/Blending Components	0.710545939101
AT	Biogasoline	15.919790961
AT	Biodiesels	5.32770003526
AT	Other Liquid Biofuels	23.8871036299
AT	Rubber and plastic products (25)	9062.57875887
AT	Glass and glass products	269.339473334
AT	Secondary glass for treatment, Re-processing of secondary glass into new glass	0
AT	Ceramic goods	417.831462545
AT	Bricks, tiles and construction products, in baked clay	367.514899696
AT	Cement, lime and plaster	5520.81823606
AT	Ash for treatment, Re-processing of ash into clinker	0
AT	Other non-metallic mineral products	1216.18556924
